Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa4.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising4.txt", spin_configuration="0x3731")
3,-0.18805,0x3731
3.0,0.02463,0x3f31
2.993995996,0.75803,0x3f33
2.99099399399,1.60425,0x3f32
2.98498998999,-0.10661,0x3d32
2.98198798799,-0.95283,0x3d33
2.97898598599,-2.57733,0x3d13
2.97598398398,-4.64835,0x3d1b
2.97298198198,-7.38965,0x3d1f
2.96997997998,-6.01289,0x3d1d
2.96697797798,-5.16463,0x3d15
2.96397597598,-6.01289,0x3d1d
2.96097397397,-9.95487,0x3c1d
2.95797197197,-13.25515,0x1c1d
2.95496996997,-10.31887,0x141d
2.95196796797,-9.52585,0x151d
2.94896596597,-9.32009,0x159d
2.94296196196,-7.47563,0x1595
2.93995995996,-9.21215,0x595
2.93095395395,-13.02635,0xd95
2.92494994995,-9.21215,0x595
2.92194794795,-7.47563,0x1595
2.91894594595,-8.67759,0x1515
2.90993993994,-10.02429,0x1715
2.90693793794,-8.82233,0x1795
2.90093393393,-7.58829,0x17d5
2.89492992993,-5.87099,0x16d5
2.89192792793,-5.73363,0x6d5
2.88892592593,-6.89725,0x4d5
2.87091391391,-7.67697,0x455
2.86791191191,-9.15495,0x475
2.86490990991,-9.19745,0x8475
2.8559039039,-11.80609,0x8477
2.8529019019,-9.07155,0x8467
2.8498998999,-11.53517,0x846f
2.8438958959,-14.26971,0x847f
2.84089389389,-15.35057,0x857f
2.83789189189,-13.69271,0x57f
2.83188788789,-13.90919,0x5ff
2.81987987988,-15.56705,0x85ff
2.81387587588,-14.48619,0x84ff
2.80486986987,-14.03175,0x94ff
2.80186786787,-14.48619,0x84ff
2.79886586587,-14.03175,0x94ff
2.79586386386,-16.06195,0x9cff
2.78985985986,-12.60213,0x9cf7
2.76884584585,-16.06195,0x9cff
2.76584384384,-19.92885,0x1cff
2.75383583584,-13.55179,0x1cfe
2.75083383383,-19.92885,0x1cff
2.74482982983,-19.79149,0xcff
2.74182782783,-19.92885,0x1cff
2.72681781782,-18.08439,0x1cf7
2.6997997998,-18.21279,0x3cf7
2.68779179179,-17.36657,0x3cf6
2.68178778779,-13.14539,0x3ef6
2.67878578579,-11.71373,0x3ff6
2.67578378378,-14.04325,0x1ff6
2.67278178178,-8.64929,0x1ff4
2.66977977978,-12.12999,0x1fe4
2.66377577578,-11.38293,0x1de4
2.65476976977,-7.90223,0x1df4
2.65176776777,-1.37323,0x1db4
2.64576376376,-6.76719,0x1db6
2.64276176176,-6.89559,0x3db6
2.63975975976,-7.74181,0x3db7
2.63675775776,-6.89559,0x3db6
2.62775175175,-4.07067,0x3d36
2.60973973974,-6.89559,0x3db6
2.60373573574,-13.42459,0x3df6
2.59472972973,-12.97015,0x2df6
2.58872572573,-15.03825,0x2cf6
2.58572372372,-18.20357,0xcf6
2.57971971972,-16.13547,0xdf6
2.5557037037,-19.61617,0xde6
2.5496996997,-19.41041,0xd66
2.5436956957,-21.12771,0xc66
2.52868568569,-14.24301,0xc46
2.51067367367,-15.89929,0xc06
2.50466966967,-14.24301,0xc46
2.50166766767,-9.56043,0xc4e
2.49866566567,-7.84313,0xd4e
2.49566366366,-14.72783,0xd6e
2.49266166166,-15.47489,0xf6e
2.48665765766,-12.63561,0x1f6e
2.48365565566,-17.31819,0x1f66
2.47164764765,-16.57113,0x1d66
2.45663763764,-16.78381,0x1566
2.44763163163,-19.62309,0x566
2.44462962963,-19.41041,0xd66
2.40860560561,-20.15747,0xf66
2.4056036036,-20.37015,0x766
2.3935955956,-18.32827,0x366
2.38158758759,-16.29807,0xb66
2.37858558559,-11.90831,0x4b66
2.36657757758,-12.11407,0x4be6
2.36357557558,-16.50383,0xbe6
2.35156756757,-13.02313,0xbf6
2.34256156156,-16.50383,0xbe6
2.32454954955,-13.66455,0x1be6
2.32154754755,-14.74541,0x1ae6
2.31254154154,-14.53965,0x1a66
2.30653753754,-13.42089,0x1266
2.29152752753,-14.38629,0x266
2.28552352352,-7.20917,0x226
2.27651751752,-7.25167,0x8226
2.26150750751,-3.43747,0x8a26
2.25850550551,-4.23049,0x8b26
2.2525015015,-9.16025,0x8f26
2.2464974975,-14.30589,0x8726
2.24049349349,-10.87481,0x9726
2.22848548549,-16.98157,0x9766
2.21947947948,-14.65205,0xb766
2.19546346346,-16.98157,0x9766
2.18945945946,-20.41265,0x8766
2.15943943944,-18.37077,0x8366
2.15643743744,-14.93969,0x9366
2.15343543544,-16.98157,0x9766
2.14743143143,-14.93969,0x9366
2.13842542543,-14.37433,0xd366
