Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa8.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising8.txt", spin_configuration="0x17ccc569b2446e0b")
3,0.01299,0x17ccc569b2446e0b
3.0,-0.27541,0x17ccc569b244660b
2.996997998,-1.88727,0x17ccc569b246660b
2.993995996,-1.76973,0x17ccc569b206660b
2.99099399399,-9.60173,0x17ccc549b206660b
2.98799199199,-15.35245,0x174cc549b206660b
2.98498998999,-16.28291,0x174cc549b202660b
2.97598398398,-17.68539,0x1744c549b202660b
2.97298198198,-18.49553,0x1744c549b202662b
2.96997997998,-17.95303,0x1744c5c9b202662b
2.96697797798,-19.02931,0x1744c5c9ba02662b
2.96397597598,-16.93351,0x1744c1c9ba02662b
2.95797197197,-16.21115,0x1744c1c99a02662b
2.95496996997,-15.22891,0x1744c1c99a03662b
2.95196796797,-13.94607,0x1744c1e99a03662b
2.94896596597,-18.09829,0x1744c1e99a03672b
2.94596396396,-15.29077,0x1744c1e98a03672b
2.94296196196,-14.36031,0x1744c1e98a07672b
2.93995995996,-14.07191,0x1744c1e98a076f2b
2.93695795796,-14.61441,0x1744c1698a076f2b
2.93395595596,-10.47325,0x1764c1698a076f2b
2.93095395395,-12.30043,0x1764c16d8a076f2b
2.92795195195,-10.47325,0x1764c1698a076f2b
2.92494994995,-11.78221,0x1764c1698a076b2b
2.92194794795,-18.86639,0x1764c1698a056b2b
2.91894594595,-22.98803,0x764c1698a056b2b
2.91294194194,-22.87791,0x764c16982056b2b
2.90093393393,-22.21695,0x764c96982056b2b
2.89793193193,-21.40681,0x764c96982056b0b
2.89492992993,-25.79473,0x764c96982056b0a
2.89192792793,-25.31425,0x766c96982056b0a
2.88892592593,-25.29301,0x766cd6982056b0a
2.88592392392,-15.91989,0x766cd6902056b0a
2.88292192192,-14.81121,0x766cc6902056b0a
2.87991991992,-16.65257,0x766cc6912056b0a
2.87691791792,-20.79373,0x746cc6912056b0a
2.87091391391,-23.57173,0x746c46912056b0a
2.86791191191,-21.38039,0x746c46912056b8a
2.86190790791,-21.86087,0x744c46912056b8a
2.85890590591,-25.34493,0x744c46912256b8a
2.8559039039,-22.56693,0x744cc6912256b8a
2.8438958959,-21.84281,0x744ce6912256b8a
2.84089389389,-19.39187,0x744ce6912656b8a
2.82888588589,-19.14611,0x744ee6912656b8a
2.82588388388,-16.86817,0x745ee6912656b8a
2.82288188188,-27.62637,0x745ef6912656b8a
2.81987987988,-34.19339,0x745ef7912656b8a
2.81687787788,-32.84735,0x745ff7912656b8a
2.81387587588,-35.03869,0x745ff7912656b0a
2.81087387387,-32.61317,0x745fb7912656b0a
2.80486986987,-31.86889,0x745fb791265630a
2.79886586587,-41.24201,0x745fb799265630a
2.78385585586,-40.32643,0x745fb799245630a
2.77785185185,-39.82895,0x7c5fb799245630a
2.77484984985,-39.03073,0x7c5fb799345630a
2.77184784785,-41.16661,0x7c5fb399345630a
2.76584384384,-41.97675,0x7c5fb399345632a
2.76284184184,-34.89257,0x7c5fb399347632a
2.75683783784,-37.23927,0x7c5fb399343632a
2.75383583584,-37.61215,0x7c7fb399343632a
2.74182782783,-41.07003,0x7c7f3399343632a
2.73882582583,-45.61259,0x7c7f7399343632a
2.73282182182,-46.52817,0x7c7f7399363632a
2.72381581582,-47.20435,0x7c7f7389363632a
2.72081381381,-50.80797,0x7c7f7389361632a
2.71781181181,-52.26529,0x7c3f7389361632a
2.71480980981,-51.58911,0x7c3f7399361632a
2.69079379379,-52.08659,0x743f7399361632a
2.68779179179,-53.90943,0x743f7399161632a
2.68178778779,-53.41195,0x7c3f7399161632a
2.67278178178,-57.39811,0x7c3f73991616322
2.66677777778,-54.96797,0x7c3f73990616322
2.65777177177,-57.07159,0x7c3f73994616322
2.65476976977,-62.70013,0x3c3f73994616322
2.64576376376,-60.90349,0x3e3f73994616322
2.64276176176,-56.91733,0x3e3f7399461632a
2.61574374374,-57.41481,0x363f7399461632a
2.60073373373,-52.50585,0x363f3399461632a
2.59773173173,-53.14107,0x363f3399461633a
2.59472972973,-52.64359,0x3e3f3399461633a
2.59172772773,-47.71645,0x3e3f33994e1633a
2.58272172172,-44.70945,0x3e3d33994e1633a
2.57071371371,-44.02411,0x3e3d33d94e1633a
2.56170770771,-44.76839,0x3e3d33d94e16b3a
2.5466976977,-42.48833,0x3e3d33d94e36b3a
2.54069369369,-58.03233,0x3e3d33d94e26b3a
2.53769169169,-57.69441,0x1e3d33d94e26b3a
2.52568368368,-54.37797,0xe3d33d94e26b3a
2.52268168168,-47.11969,0xe3d33d14e26b3a
2.51067367367,-46.37541,0xe3d33d14e2633a
2.50466966967,-45.74019,0xe3d33d14e2632a
2.50166766767,-45.25971,0xe1d33d14e2632a
2.49866566567,-45.94505,0xe1d33914e2632a
2.48965965966,-45.02947,0xe1d33914c2632a
2.48665765766,-43.93599,0x8e1d33914c2632a
2.46264164164,-44.68027,0x8e1d33914c26b2a
2.45963963964,-39.29815,0x8e1d13914c26b2a
2.44763163163,-40.21373,0x8e1d13914e26b2a
2.44462962963,-46.78795,0x8e1d1b914e26b2a
2.44162762763,-50.10439,0x9e1d1b914e26b2a
2.43562362362,-47.15431,0x9f1d1b914e26b2a
2.43262162162,-47.78729,0x9f1d1b914e26b2e
2.41761161161,-50.79429,0x9f1f1b914e26b2e
2.40860560561,-48.58909,0x9f1f0b914e26b2e
2.4026016016,-52.21565,0x9f1f0b954e26b2e
2.39059359359,-49.05185,0x9f1f0b974e26b2e
2.38759159159,-49.86529,0x9f1f0b964e26b2e
2.36957957958,-50.04987,0x9f1f0b964c26b2e
2.36657757758,-52.99995,0x9e1f0b964c26b2e
2.36057357357,-55.26241,0xde1f0b964c26b2e
2.34856556557,-60.85557,0xda1f0b964c26b2e
2.33655755756,-60.04213,0xda1f0b974c26b2e
2.31554354354,-59.35679,0xda1f0bd74c26b2e
2.31254154154,-58.07395,0xda1f09d74c26b2e
2.30653753754,-60.27915,0xda1f19d74c26b2e
2.30353553554,-56.82127,0xda1f99d74c26b2e
2.30053353353,-56.63669,0xda1f99d74e26b2e
2.29452952953,-60.09457,0xda1f19d74e26b2e
2.28252152152,-60.90801,0xda1f19d64e26b2e
2.26751151151,-61.09259,0xda1f19d64c26b2e
2.26150750751,-58.90125,0xda1f19d64c26bae
2.2464974975,-52.32703,0xda1f11d64c26bae
2.23749149149,-52.73593,0xda1f11d60c26bae
2.22548348348,-51.28505,0xda1e11d60c26bae
2.21647747748,-50.47491,0xda1e11d60c26b8e
2.21047347347,-55.85703,0xda1e31d60c26b8e
2.20446946947,-53.68975,0x5a1e31d60c26b8e
2.19246146146,-53.88223,0x85a1e31d60c26b8e
2.18645745746,-54.88053,0x81a1e31d60c26b8e
2.18345545546,-50.36247,0x81a1e31d60c26b9e
2.17444944945,-49.82175,0x80a1e31d60c26b9e
2.17144744745,-46.81075,0x80a5e31d60c26b9e
2.16844544545,-46.40185,0x80a5e31d64c26b9e
2.16244144144,-39.45923,0x80a5e31d64826b9e
2.14142742743,-42.47023,0x80a1e31d64826b9e
2.13842542543,-40.35361,0x80a1e31d64827b9e
2.12041341341,-39.26013,0x88a1e31d64827b9e
2.11440940941,-45.83435,0x88a1e39d64827b9e
2.10840540541,-46.92783,0x80a1e39d64827b9e
2.0993993994,-48.48863,0x80a1e39d64827b96
2.08438938939,-50.60525,0x80a1e39d64826b96
2.06937937938,-51.67785,0x80b1e39d64826b96
2.06637737738,-47.93609,0x80b1e39d64926b96
2.05737137137,-50.65797,0x80b1e39d64926bd6
2.05436936937,-54.39973,0x80b1e39d64826bd6
2.04536336336,-53.58629,0x80b1e39d74826bd6
2.04236136136,-46.94585,0x88b1e39d74826bd6
2.03035335335,-47.69243,0x88b1e39d74826bd2
2.02434934935,-48.50587,0x88b1e39d64826bd2
2.01534334334,-47.69243,0x88b1e39d74826bd2
2.00633733734,-48.97527,0x88b1e3bd74826bd2
2.00033333333,-48.22869,0x88b1e3bd74826bd6
1.99432932933,-50.90021,0x88b1e3bd76826bd6
1.98532332332,-50.23925,0x88b1ebbd76826bd6
1.97631731732,-49.52745,0x98b1ebbd76826bd6
1.96430930931,-50.34089,0x98b1ebbd66826bd6
1.96130730731,-51.02623,0x98b1ebb966826bd6
1.9462972973,-50.89659,0x98a1ebb966826bd6
1.93128728729,-53.88823,0x90a1ebb966826bd6
1.92828528529,-56.68015,0x90a1efb966826bd6
1.91327527528,-51.08699,0x90e1efb966826bd6
1.90126726727,-51.25771,0xb0e1efb966826bd6
1.88625725726,-47.87591,0xb0e1eff966826bd6
1.86524324324,-48.00555,0xb0f1eff966826bd6
1.85623723724,-48.48603,0xb0f3eff966826bd6
1.85323523524,-55.42865,0xb0f3eff966c26bd6
1.85023323323,-64.75041,0xf0f3eff966c26bd6
